AQDATE,FCODE,KLSRMP,KODATC,NAMOBJ,PUDATE,REMARK,SRS_ID,JNSPDG,LCODE,METADATA,SHAPE_Leng,SHAPE_Area,KODLCO,JNSSMK,layer,path
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.01342860961,0.00000160925,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.01163799178,0.00000162629,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00625831243,0.00000128086,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00451740058,0.00000068037,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00634052353,0.00000091268,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00711184287,0.00000255000,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00440851014,0.00000050078,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00529055859,0.00000129089,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,,,Tanah Kosong/Gundul,,999,FF0020,,0.00561801533,0.00000089073,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,999,,Universitas Jenderal Achmad Yani,,Tanah Kosong/Gundul,,999,FF0020,,1.15655687302,0.00040848718,,,NONAGRIALANG_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRIALANG_AR_25K.shp
,,,,,,Semak Belukar,,,FB0040,,0.01646507546,0.00000638827,,0,NONAGRISEMAKBELUKAR_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRISEMAKBELUKAR_AR_25K.shp
,,,,,,Semak Belukar,,,FB0040,,0.02439634143,0.00002043846,,0,NONAGRISEMAKBELUKAR_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRISEMAKBELUKAR_AR_25K.shp
,,,,,,Semak Belukar,,,FB0040,,0.00293272540,0.00000059085,,0,NONAGRISEMAKBELUKAR_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRISEMAKBELUKAR_AR_25K.shp
,,,,,,Semak Belukar,,,FB0040,,0.00508513086,0.00000038486,,0,NONAGRISEMAKBELUKAR_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRISEMAKBELUKAR_AR_25K.shp
,,,,,,Semak Belukar,,,FB0040,,0.02319106765,0.00000613764,,0,NONAGRISEMAKBELUKAR_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRISEMAKBELUKAR_AR_25K.shp
,,,,,,Semak Belukar,,,FB0040,,0.00643842043,0.00000164976,,0,NONAGRISEMAKBELUKAR_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRISEMAKBELUKAR_AR_25K.shp
,,,,,,Semak Belukar,,,FB0040,,0.12873541500,0.00006123908,,0,NONAGRISEMAKBELUKAR_AR_25K,C:/../../Users/rakhm/Downloads/[LapakGIS.com] KOTA CIMAHI/NONAGRISEMAKBELUKAR_AR_25K.shp
